,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
91,Oklahoma City Thunder,Orlando Magic,31,16,21,16,14,24,22,21,12.07.2022
92,Houston Rockets,Oklahoma City Thunder,21,24,19,26,25,15,25,23,10.07.2022
93,Philadelphia 76ers,Oklahoma City Thunder,19,20,20,21,15,24,23,17,07.07.2022
94,Oklahoma City Thunder,Memphis Grizzlies,20,28,24,15,20,23,14,14,07.07.2022
95,Utah Jazz,Oklahoma City Thunder,9,23,18,27,29,18,29,22,06.07.2022
96,Los Angeles Clippers,Oklahoma City Thunder,39,27,29,43,18,33,16,21,11.04.2022
97,Los Angeles Lakers,Oklahoma City Thunder,27,29,34,30,28,24,30,19,09.04.2022
98,Utah Jazz,Oklahoma City Thunder,41,30,35,31,31,27,27,16,07.04.2022
99,Oklahoma City Thunder,Portland Trail Blazers,29,19,19,31,27,27,28,12,06.04.2022
100,Oklahoma City Thunder,Phoenix Suns,20,32,32,33,27,26,22,21,04.04.2022
101,Oklahoma City Thunder,Detroit Pistons,20,32,14,35,21,34,28,27,02.04.2022
102,Oklahoma City Thunder,Atlanta Hawks,24,34,31,29,42,43,30,21,31.03.2022
103,Portland Trail Blazers,Oklahoma City Thunder,28,33,28,26,34,24,23,34,"29.03.2022
AOT"
104,Denver Nuggets,Oklahoma City Thunder,32,26,29,26,25,24,27,31,27.03.2022
105,Oklahoma City Thunder,Orlando Magic,26,34,24,34,34,19,21,28,24.03.2022
106,Oklahoma City Thunder,Boston Celtics,21,30,33,39,38,27,43,24,22.03.2022
107,Orlando Magic,Oklahoma City Thunder,31,14,17,28,25,18,21,21,20.03.2022
108,Miami Heat,Oklahoma City Thunder,27,42,34,17,26,28,25,29,19.03.2022
109,San Antonio Spurs,Oklahoma City Thunder,37,31,30,24,29,27,35,29,17.03.2022
110,Oklahoma City Thunder,Charlotte Hornets,41,23,27,25,29,36,37,32,15.03.2022
111,Oklahoma City Thunder,Memphis Grizzlies,26,28,25,39,38,23,34,30,14.03.2022
112,Minnesota Timberwolves,Oklahoma City Thunder,32,42,27,31,21,26,32,23,10.03.2022
113,Oklahoma City Thunder,Milwaukee Bucks,34,31,28,22,39,37,29,37,09.03.2022
114,Oklahoma City Thunder,Utah Jazz,24,21,31,27,33,28,30,25,07.03.2022
115,Oklahoma City Thunder,Minnesota Timberwolves,34,26,27,14,32,45,31,30,05.03.2022
116,Denver Nuggets,Oklahoma City Thunder,24,33,22,28,24,31,31,33,03.03.2022
117,Oklahoma City Thunder,Sacramento Kings,32,27,31,20,35,24,40,32,01.03.2022
118,Indiana Pacers,Oklahoma City Thunder,36,25,32,30,29,40,23,31,"26.02.2022
AOT"
119,Oklahoma City Thunder,Phoenix Suns,14,31,32,27,31,17,37,39,25.02.2022
120,Oklahoma City Thunder,San Antonio Spurs,29,29,23,25,34,39,16,25,17.02.2022
121,New York Knicks,Oklahoma City Thunder,31,31,32,18,29,32,30,21,"15.02.2022
AOT"
122,Chicago Bulls,Oklahoma City Thunder,22,28,31,25,29,25,26,21,13.02.2022
123,Philadelphia 76ers,Oklahoma City Thunder,24,22,31,23,24,17,20,26,12.02.2022
124,Oklahoma City Thunder,Toronto Raptors,22,29,21,26,34,25,28,30,10.02.2022
125,Oklahoma City Thunder,Golden State Warriors,23,23,26,26,20,36,29,25,08.02.2022
126,Sacramento Kings,Oklahoma City Thunder,36,28,25,24,30,27,22,24,06.02.2022
127,Portland Trail Blazers,Oklahoma City Thunder,19,31,26,17,21,25,29,21,05.02.2022
128,Dallas Mavericks,Oklahoma City Thunder,28,23,25,27,30,21,34,18,"03.02.2022
AOT"
129,Oklahoma City Thunder,Portland Trail Blazers,19,20,26,33,31,16,14,20,01.02.2022
130,Oklahoma City Thunder,Indiana Pacers,30,24,26,20,29,22,22,27,"29.01.2022
AOT"
131,Oklahoma City Thunder,Chicago Bulls,27,21,30,32,35,23,34,19,25.01.2022
132,Cleveland Cavaliers,Oklahoma City Thunder,24,23,31,16,22,23,23,19,23.01.2022
133,Charlotte Hornets,Oklahoma City Thunder,37,32,24,28,20,32,23,23,22.01.2022
134,San Antonio Spurs,Oklahoma City Thunder,32,37,37,12,22,29,27,18,20.01.2022
135,Dallas Mavericks,Oklahoma City Thunder,33,20,24,27,24,18,30,30,18.01.2022
136,Oklahoma City Thunder,Cleveland Cavaliers,32,24,29,17,24,22,37,24,16.01.2022
137,Brooklyn Nets,Oklahoma City Thunder,26,25,32,26,38,32,30,30,14.01.2022
138,Washington Wizards,Oklahoma City Thunder,30,28,36,28,31,30,32,25,12.01.2022
139,Oklahoma City Thunder,Denver Nuggets,23,26,29,17,36,25,19,19,10.01.2022
140,Oklahoma City Thunder,Minnesota Timberwolves,28,29,23,25,32,41,30,32,08.01.2022
141,Minnesota Timberwolves,Oklahoma City Thunder,30,19,20,29,10,26,27,27,06.01.2022
