,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
154,Phoenix Suns,Memphis Grizzlies,24,24,27,38,25,35,29,25,28.12.2021
155,Sacramento Kings,Memphis Grizzlies,24,26,27,25,20,29,40,38,27.12.2021
156,Golden State Warriors,Memphis Grizzlies,27,25,32,29,31,22,30,21,24.12.2021
157,Memphis Grizzlies,Oklahoma City Thunder,28,22,22,27,16,31,27,28,21.12.2021
158,Memphis Grizzlies,Portland Trail Blazers,32,20,28,20,28,23,26,28,20.12.2021
159,Sacramento Kings,Memphis Grizzlies,31,25,19,30,29,29,33,33,18.12.2021
160,Portland Trail Blazers,Memphis Grizzlies,19,28,35,21,24,31,25,33,16.12.2021
161,Memphis Grizzlies,Philadelphia 76ers,37,31,33,25,30,26,19,16,14.12.2021
162,Memphis Grizzlies,Houston Rockets,40,23,23,27,29,18,30,29,12.12.2021
163,Memphis Grizzlies,Los Angeles Lakers,25,34,26,23,29,24,25,17,10.12.2021
164,Memphis Grizzlies,Dallas Mavericks,25,27,23,21,26,22,28,28,09.12.2021
165,Miami Heat,Memphis Grizzlies,25,24,18,23,34,26,22,23,07.12.2021
166,Dallas Mavericks,Memphis Grizzlies,18,19,21,32,22,27,23,25,05.12.2021
167,Memphis Grizzlies,Oklahoma City Thunder,31,41,41,39,16,20,26,17,03.12.2021
168,Toronto Raptors,Memphis Grizzlies,18,21,28,24,27,23,20,28,01.12.2021
169,Memphis Grizzlies,Sacramento Kings,38,38,30,22,25,27,22,27,29.11.2021
170,Memphis Grizzlies,Atlanta Hawks,21,27,18,34,29,33,43,27,27.11.2021
171,Memphis Grizzlies,Toronto Raptors,32,39,21,21,25,34,32,35,25.11.2021
172,Utah Jazz,Memphis Grizzlies,30,30,36,22,27,27,38,27,23.11.2021
173,Minnesota Timberwolves,Memphis Grizzlies,40,32,41,25,23,20,28,24,21.11.2021
174,Memphis Grizzlies,Los Angeles Clippers,30,26,38,26,24,29,32,23,19.11.2021
175,Memphis Grizzlies,Houston Rockets,33,41,31,31,20,36,15,31,16.11.2021
176,New Orleans Pelicans,Memphis Grizzlies,35,27,21,29,22,22,28,29,14.11.2021
177,Memphis Grizzlies,Phoenix Suns,23,20,21,30,36,26,30,27,13.11.2021
178,Memphis Grizzlies,Charlotte Hornets,36,16,26,30,34,26,21,37,11.11.2021
179,Memphis Grizzlies,Minnesota Timberwolves,34,24,23,32,34,20,38,21,"09.11.2021
AOT"
180,Washington Wizards,Memphis Grizzlies,35,25,31,24,31,16,21,19,06.11.2021
181,Memphis Grizzlies,Denver Nuggets,37,19,22,30,19,36,28,23,04.11.2021
182,Memphis Grizzlies,Denver Nuggets,31,29,22,24,26,32,15,24,02.11.2021
183,Memphis Grizzlies,Miami Heat,22,32,25,24,38,29,35,27,31.10.2021
184,Golden State Warriors,Memphis Grizzlies,37,18,24,19,20,25,28,25,"29.10.2021
AOT"
185,Portland Trail Blazers,Memphis Grizzlies,24,27,36,29,27,30,20,19,28.10.2021
186,Los Angeles Lakers,Memphis Grizzlies,29,33,25,34,24,32,34,28,25.10.2021
187,Los Angeles Clippers,Memphis Grizzlies,34,28,27,25,25,34,38,23,24.10.2021
188,Memphis Grizzlies,Cleveland Cavaliers,32,41,21,38,32,29,29,31,21.10.2021
189,Chicago Bulls,Memphis Grizzlies,28,27,27,36,35,18,28,24,16.10.2021
190,Indiana Pacers,Memphis Grizzlies,28,24,32,25,22,35,33,17,14.10.2021
191,Memphis Grizzlies,Detroit Pistons,34,36,29,28,27,19,28,18,12.10.2021
192,Memphis Grizzlies,Atlanta Hawks,22,18,24,23,21,16,27,27,10.10.2021
193,Charlotte Hornets,Memphis Grizzlies,19,24,27,28,31,42,28,27,08.10.2021
194,Memphis Grizzlies,Milwaukee Bucks,35,20,32,0,23,24,30,0,06.10.2021
