,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
89,Chicago Bulls,Dallas Mavericks,21,12,25,32,17,30,17,26,"08.07.2022
AOT"
90,Golden State Warriors,Dallas Mavericks,28,41,25,26,23,29,32,26,27.05.2022
91,Dallas Mavericks,Golden State Warriors,28,34,37,20,24,23,23,39,25.05.2022
92,Dallas Mavericks,Golden State Warriors,22,25,21,32,25,23,30,31,23.05.2022
93,Golden State Warriors,Dallas Mavericks,25,33,25,43,32,40,13,32,21.05.2022
94,Golden State Warriors,Dallas Mavericks,28,26,34,24,18,27,24,18,19.05.2022
95,Phoenix Suns,Dallas Mavericks,17,10,23,40,27,30,35,31,16.05.2022
96,Dallas Mavericks,Phoenix Suns,28,32,34,19,25,20,27,14,13.05.2022
97,Phoenix Suns,Dallas Mavericks,23,26,33,28,26,20,14,20,11.05.2022
98,Dallas Mavericks,Phoenix Suns,37,31,19,24,25,31,22,23,08.05.2022
99,Dallas Mavericks,Phoenix Suns,29,22,31,21,20,24,23,27,07.05.2022
100,Phoenix Suns,Dallas Mavericks,32,26,31,40,28,32,23,26,05.05.2022
101,Phoenix Suns,Dallas Mavericks,35,34,27,25,25,31,23,35,03.05.2022
102,Utah Jazz,Dallas Mavericks,21,32,19,24,15,26,36,21,29.04.2022
103,Dallas Mavericks,Utah Jazz,24,28,29,21,18,18,19,22,26.04.2022
104,Utah Jazz,Dallas Mavericks,24,30,24,22,23,19,39,18,23.04.2022
105,Utah Jazz,Dallas Mavericks,20,31,40,27,27,41,29,29,22.04.2022
106,Dallas Mavericks,Utah Jazz,24,24,29,33,24,31,26,23,19.04.2022
107,Dallas Mavericks,Utah Jazz,23,20,22,28,20,25,28,26,16.04.2022
108,Dallas Mavericks,San Antonio Spurs,28,31,38,33,29,30,23,38,11.04.2022
109,Dallas Mavericks,Portland Trail Blazers,36,32,39,21,13,31,25,9,09.04.2022
110,Detroit Pistons,Dallas Mavericks,34,24,28,27,32,33,34,32,07.04.2022
111,Milwaukee Bucks,Dallas Mavericks,33,22,32,25,25,32,33,28,03.04.2022
112,Washington Wizards,Dallas Mavericks,41,26,27,41,30,23,25,25,02.04.2022
113,Cleveland Cavaliers,Dallas Mavericks,30,37,22,23,34,27,39,20,31.03.2022
114,Dallas Mavericks,Los Angeles Lakers,43,39,31,15,25,31,28,26,30.03.2022
115,Dallas Mavericks,Utah Jazz,21,37,32,24,29,30,20,21,28.03.2022
116,Minnesota Timberwolves,Dallas Mavericks,26,35,28,27,22,28,17,28,26.03.2022
117,Dallas Mavericks,Houston Rockets,25,27,30,28,21,32,19,19,24.03.2022
118,Dallas Mavericks,Minnesota Timberwolves,23,37,26,24,29,25,27,27,22.03.2022
119,Charlotte Hornets,Dallas Mavericks,35,26,41,27,24,28,28,28,20.03.2022
120,Philadelphia 76ers,Dallas Mavericks,26,32,26,27,27,26,23,25,19.03.2022
121,Brooklyn Nets,Dallas Mavericks,30,31,30,20,23,35,21,34,17.03.2022
122,Boston Celtics,Dallas Mavericks,20,27,26,19,18,20,38,19,13.03.2022
123,Houston Rockets,Dallas Mavericks,23,21,28,28,31,36,29,17,12.03.2022
124,Dallas Mavericks,New York Knicks,17,17,31,12,31,30,22,24,10.03.2022
125,Dallas Mavericks,Utah Jazz,30,30,25,26,24,25,19,35,08.03.2022
126,Dallas Mavericks,Sacramento Kings,26,25,34,29,36,29,27,21,05.03.2022
127,Dallas Mavericks,Golden State Warriors,38,30,31,23,27,27,37,22,04.03.2022
128,Los Angeles Lakers,Dallas Mavericks,25,31,31,17,30,41,14,24,02.03.2022
129,Golden State Warriors,Dallas Mavericks,37,23,28,13,24,24,26,33,28.02.2022
130,Utah Jazz,Dallas Mavericks,31,29,29,25,34,33,19,23,26.02.2022
131,New Orleans Pelicans,Dallas Mavericks,27,31,23,37,45,26,34,20,18.02.2022
132,Miami Heat,Dallas Mavericks,28,31,19,21,23,28,30,26,16.02.2022
133,Dallas Mavericks,Los Angeles Clippers,26,22,19,30,23,26,21,29,13.02.2022
134,Dallas Mavericks,Los Angeles Clippers,36,23,30,23,28,22,31,24,11.02.2022
135,Dallas Mavericks,Detroit Pistons,36,29,33,18,26,25,20,15,09.02.2022
136,Dallas Mavericks,Atlanta Hawks,29,25,26,23,26,24,26,18,07.02.2022
137,Dallas Mavericks,Philadelphia 76ers,24,29,32,22,33,30,15,20,05.02.2022
138,Dallas Mavericks,Oklahoma City Thunder,28,23,25,27,30,21,34,18,"03.02.2022
AOT"
139,Orlando Magic,Dallas Mavericks,23,41,27,19,34,25,29,20,31.01.2022
140,Dallas Mavericks,Indiana Pacers,34,38,32,28,23,37,20,25,30.01.2022
141,Portland Trail Blazers,Dallas Mavericks,25,34,22,31,40,28,30,34,27.01.2022
142,Golden State Warriors,Dallas Mavericks,29,34,34,33,20,31,27,14,26.01.2022
143,Dallas Mavericks,Memphis Grizzlies,24,24,29,27,16,18,27,30,24.01.2022
144,Dallas Mavericks,Phoenix Suns,26,27,29,19,22,23,29,35,21.01.2022
145,Dallas Mavericks,Toronto Raptors,27,28,28,19,31,23,22,22,20.01.2022
146,Dallas Mavericks,Oklahoma City Thunder,33,20,24,27,24,18,30,30,18.01.2022
147,Dallas Mavericks,Orlando Magic,32,23,30,23,23,20,25,24,16.01.2022
148,Memphis Grizzlies,Dallas Mavericks,29,26,18,12,25,25,34,28,15.01.2022
149,New York Knicks,Dallas Mavericks,30,26,28,24,21,24,21,19,13.01.2022
150,Dallas Mavericks,Chicago Bulls,22,32,29,30,32,23,24,20,10.01.2022
151,Houston Rockets,Dallas Mavericks,23,37,26,20,43,37,30,20,08.01.2022
152,Dallas Mavericks,Golden State Warriors,21,29,20,29,21,18,28,15,06.01.2022
153,Dallas Mavericks,Denver Nuggets,24,22,23,34,20,17,26,26,04.01.2022
154,Oklahoma City Thunder,Dallas Mavericks,22,17,25,22,26,25,22,22,03.01.2022
155,Sacramento Kings,Dallas Mavericks,39,17,20,20,34,28,32,18,01.01.2022
156,Sacramento Kings,Dallas Mavericks,20,35,17,23,30,13,26,25,30.12.2021
157,Portland Trail Blazers,Dallas Mavericks,29,24,31,33,34,38,34,26,28.12.2021
158,Utah Jazz,Dallas Mavericks,25,40,25,30,34,29,27,26,26.12.2021
159,Dallas Mavericks,Milwaukee Bucks,23,20,31,21,15,26,34,27,24.12.2021
160,Dallas Mavericks,Minnesota Timberwolves,34,27,27,26,35,15,28,24,22.12.2021
161,Minnesota Timberwolves,Dallas Mavericks,27,29,30,25,25,25,38,17,20.12.2021
162,Dallas Mavericks,Los Angeles Lakers,23,27,23,20,33,14,26,20,"16.12.2021
AOT"
163,Dallas Mavericks,Charlotte Hornets,37,33,21,29,20,23,26,27,14.12.2021
164,Oklahoma City Thunder,Dallas Mavericks,27,19,25,13,28,28,24,23,13.12.2021
165,Indiana Pacers,Dallas Mavericks,22,34,26,24,26,28,26,13,11.12.2021
166,Memphis Grizzlies,Dallas Mavericks,25,27,23,21,26,22,28,28,09.12.2021
167,Dallas Mavericks,Brooklyn Nets,27,35,24,13,21,29,25,27,08.12.2021
168,Dallas Mavericks,Memphis Grizzlies,18,19,21,32,22,27,23,25,05.12.2021
169,Dallas Mavericks,New Orleans Pelicans,19,29,20,23,14,30,35,28,04.12.2021
170,New Orleans Pelicans,Dallas Mavericks,23,23,29,32,41,26,35,37,02.12.2021
171,Dallas Mavericks,Cleveland Cavaliers,23,18,24,31,30,22,35,27,30.11.2021
172,Dallas Mavericks,Washington Wizards,36,33,24,21,41,20,30,29,28.11.2021
173,Los Angeles Clippers,Dallas Mavericks,26,22,28,27,21,21,38,23,"24.11.2021
AOT"
174,Los Angeles Clippers,Dallas Mavericks,19,27,25,26,22,25,15,29,21.11.2021
175,Phoenix Suns,Dallas Mavericks,27,28,24,33,24,27,33,20,20.11.2021
176,Phoenix Suns,Dallas Mavericks,25,20,23,37,22,24,27,25,18.11.2021
177,Dallas Mavericks,Denver Nuggets,35,14,30,32,32,26,25,18,16.11.2021
178,San Antonio Spurs,Dallas Mavericks,22,35,20,32,31,37,34,21,13.11.2021
179,Chicago Bulls,Dallas Mavericks,32,29,34,22,33,21,26,27,11.11.2021
180,Dallas Mavericks,New Orleans Pelicans,22,29,27,30,27,20,22,23,09.11.2021
181,Dallas Mavericks,Boston Celtics,29,28,22,28,15,25,32,32,07.11.2021
182,San Antonio Spurs,Dallas Mavericks,28,30,25,25,28,31,22,28,04.11.2021
183,Dallas Mavericks,Miami Heat,30,32,26,22,24,46,29,26,03.11.2021
184,Dallas Mavericks,Sacramento Kings,31,22,29,23,22,25,25,27,31.10.2021
185,Denver Nuggets,Dallas Mavericks,29,25,33,19,21,23,12,19,30.10.2021
186,Dallas Mavericks,San Antonio Spurs,15,32,29,28,25,24,27,23,29.10.2021
187,Dallas Mavericks,Houston Rockets,27,30,34,25,31,29,28,18,27.10.2021
188,Toronto Raptors,Dallas Mavericks,25,26,21,23,18,27,29,29,24.10.2021
189,Atlanta Hawks,Dallas Mavericks,22,29,35,27,20,24,20,23,22.10.2021
190,Milwaukee Bucks,Dallas Mavericks,29,21,27,26,30,37,24,23,16.10.2021
191,Charlotte Hornets,Dallas Mavericks,17,13,11,18,24,37,30,36,13.10.2021
192,Dallas Mavericks,Los Angeles Clippers,30,30,31,31,31,25,41,17,09.10.2021
193,Dallas Mavericks,Utah Jazz,22,39,31,19,31,25,18,27,07.10.2021
194,Miami Heat,Dallas Mavericks,18,20,19,25,22,31,17,13,17.08.2021
195,Sacramento Kings,Dallas Mavericks,22,18,18,28,15,17,21,17,15.08.2021
196,Dallas Mavericks,Denver Nuggets,22,19,23,17,15,24,14,28,"14.08.2021
AOT"
197,Dallas Mavericks,Utah Jazz,17,21,16,21,18,15,26,16,"12.08.2021
AOT"
198,Philadelphia 76ers,Dallas Mavericks,31,26,20,18,14,17,17,25,09.08.2021
199,Los Angeles Clippers,Dallas Mavericks,35,35,30,26,38,24,23,26,06.06.2021
200,Dallas Mavericks,Los Angeles Clippers,28,17,32,20,26,22,25,31,05.06.2021
201,Los Angeles Clippers,Dallas Mavericks,28,26,21,25,35,21,33,16,03.06.2021
202,Dallas Mavericks,Los Angeles Clippers,22,23,15,21,31,30,21,24,31.05.2021
203,Dallas Mavericks,Los Angeles Clippers,34,27,25,22,31,32,26,29,29.05.2021
204,Los Angeles Clippers,Dallas Mavericks,33,40,19,29,35,36,30,26,26.05.2021
205,Los Angeles Clippers,Dallas Mavericks,30,25,25,23,33,27,26,27,22.05.2021
206,Minnesota Timberwolves,Dallas Mavericks,38,38,37,23,22,38,35,26,17.05.2021
207,Dallas Mavericks,Toronto Raptors,31,35,26,22,26,26,31,27,15.05.2021
208,Dallas Mavericks,New Orleans Pelicans,32,45,34,14,30,28,22,27,13.05.2021
209,Memphis Grizzlies,Dallas Mavericks,28,32,36,37,27,30,25,22,12.05.2021
210,Cleveland Cavaliers,Dallas Mavericks,30,23,19,25,39,25,34,26,10.05.2021
211,Dallas Mavericks,Cleveland Cavaliers,33,29,24,24,19,18,28,25,08.05.2021
212,Dallas Mavericks,Brooklyn Nets,37,26,19,31,32,30,21,26,07.05.2021
213,Miami Heat,Dallas Mavericks,39,15,23,36,30,33,35,29,05.05.2021
214,Dallas Mavericks,Sacramento Kings,26,28,18,27,36,25,26,24,03.05.2021
215,Dallas Mavericks,Washington Wizards,38,32,19,36,26,39,32,27,02.05.2021
216,Detroit Pistons,Dallas Mavericks,26,28,29,22,26,34,26,29,30.04.2021
217,Golden State Warriors,Dallas Mavericks,12,17,35,39,36,26,41,30,28.04.2021
218,Sacramento Kings,Dallas Mavericks,31,28,28,26,17,35,33,21,27.04.2021
219,Dallas Mavericks,Los Angeles Lakers,23,23,33,29,26,32,21,14,25.04.2021
220,Dallas Mavericks,Los Angeles Lakers,31,31,32,21,26,25,39,20,23.04.2021
221,Dallas Mavericks,Detroit Pistons,33,34,33,27,36,22,32,27,22.04.2021
222,Dallas Mavericks,Sacramento Kings,20,30,27,30,22,45,20,34,19.04.2021
