,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
120,Cleveland Cavaliers,San Antonio Spurs,29,28,27,21,30,18,25,19,10.02.2022
121,San Antonio Spurs,Houston Rockets,33,24,40,34,25,29,23,29,05.02.2022
122,San Antonio Spurs,Miami Heat,19,28,19,29,21,36,31,24,04.02.2022
123,San Antonio Spurs,Golden State Warriors,36,33,35,16,30,31,28,35,02.02.2022
124,Phoenix Suns,San Antonio Spurs,23,27,29,36,31,24,36,19,31.01.2022
125,San Antonio Spurs,Chicago Bulls,29,34,35,33,35,33,23,31,29.01.2022
126,San Antonio Spurs,Memphis Grizzlies,25,33,28,24,34,27,33,24,27.01.2022
127,Houston Rockets,San Antonio Spurs,23,28,23,30,34,32,39,29,26.01.2022
128,San Antonio Spurs,Philadelphia 76ers,23,24,30,32,29,30,27,29,24.01.2022
129,San Antonio Spurs,Brooklyn Nets,26,25,23,28,24,26,29,38,22.01.2022
130,San Antonio Spurs,Oklahoma City Thunder,32,37,37,12,22,29,27,18,20.01.2022
131,San Antonio Spurs,Phoenix Suns,29,27,35,16,32,27,28,34,18.01.2022
132,San Antonio Spurs,Los Angeles Clippers,21,35,29,16,22,25,33,14,16.01.2022
133,San Antonio Spurs,Cleveland Cavaliers,26,33,27,23,35,29,20,30,15.01.2022
134,San Antonio Spurs,Houston Rockets,36,31,23,34,39,24,28,37,13.01.2022
135,New York Knicks,San Antonio Spurs,23,28,31,29,26,23,26,21,11.01.2022
136,Brooklyn Nets,San Antonio Spurs,32,28,31,22,32,19,38,24,"09.01.2022
AOT"
137,Philadelphia 76ers,San Antonio Spurs,39,32,26,22,19,34,27,20,08.01.2022
138,Boston Celtics,San Antonio Spurs,30,26,21,20,30,28,22,19,06.01.2022
139,Toronto Raptors,San Antonio Spurs,30,38,29,32,29,24,28,23,05.01.2022
140,Detroit Pistons,San Antonio Spurs,20,32,33,20,29,30,22,24,"02.01.2022
AOT"
