,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
148,Houston Rockets,Milwaukee Bucks,23,42,30,19,26,32,32,33,11.12.2021
149,Houston Rockets,Brooklyn Nets,30,37,23,24,23,29,21,31,09.12.2021
150,Houston Rockets,New Orleans Pelicans,28,29,37,24,26,23,36,23,06.12.2021
151,Houston Rockets,Orlando Magic,31,23,30,34,24,32,27,33,04.12.2021
152,Oklahoma City Thunder,Houston Rockets,26,34,21,29,24,29,20,41,02.12.2021
153,Houston Rockets,Oklahoma City Thunder,28,18,26,30,23,14,23,29,30.11.2021
154,Houston Rockets,Charlotte Hornets,43,30,37,25,30,41,28,36,"28.11.2021
AOT"
155,Houston Rockets,Chicago Bulls,30,25,35,28,32,32,18,31,25.11.2021
156,Boston Celtics,Houston Rockets,22,30,34,22,21,26,16,27,23.11.2021
157,New York Knicks,Houston Rockets,13,34,25,34,21,26,26,26,20.11.2021
158,Oklahoma City Thunder,Houston Rockets,22,31,27,21,19,22,23,25,18.11.2021
159,Memphis Grizzlies,Houston Rockets,33,41,31,31,20,36,15,31,16.11.2021
160,Houston Rockets,Phoenix Suns,23,21,19,26,27,24,29,35,15.11.2021
161,Houston Rockets,Portland Trail Blazers,27,18,22,25,30,25,26,23,13.11.2021
162,Houston Rockets,Detroit Pistons,21,29,29,25,23,26,33,30,11.11.2021
163,Golden State Warriors,Houston Rockets,37,32,34,17,32,29,22,24,08.11.2021
164,Denver Nuggets,Houston Rockets,26,20,26,23,27,20,24,23,06.11.2021
165,Phoenix Suns,Houston Rockets,36,20,37,30,30,31,25,25,05.11.2021
166,Los Angeles Lakers,Houston Rockets,32,32,23,32,35,35,19,28,03.11.2021
167,Los Angeles Lakers,Houston Rockets,27,27,21,20,15,20,19,31,01.11.2021
168,Houston Rockets,Utah Jazz,18,22,32,19,32,29,31,30,29.10.2021
169,Dallas Mavericks,Houston Rockets,27,30,34,25,31,29,28,18,27.10.2021
170,Houston Rockets,Boston Celtics,30,21,21,25,22,31,36,18,25.10.2021
171,Houston Rockets,Oklahoma City Thunder,34,35,31,24,21,26,26,18,23.10.2021
172,Minnesota Timberwolves,Houston Rockets,32,40,27,25,21,24,26,35,21.10.2021
173,San Antonio Spurs,Houston Rockets,30,35,31,30,21,28,30,19,16.10.2021
174,Toronto Raptors,Houston Rockets,28,29,31,19,19,19,26,28,12.10.2021
175,Houston Rockets,Miami Heat,26,22,22,36,34,28,29,22,08.10.2021
176,Houston Rockets,Washington Wizards,30,27,34,34,23,37,31,28,06.10.2021
177,Portland Trail Blazers,Houston Rockets,25,20,25,22,18,21,24,32,17.08.2021
178,Houston Rockets,Orlando Magic,19,26,18,13,23,26,19,21,16.08.2021
