,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
230,New Orleans Pelicans,Houston Rockets,30,33,29,38,25,25,31,20,10.02.2021
231,Charlotte Hornets,Houston Rockets,32,32,26,29,27,33,27,7,09.02.2021
232,Houston Rockets,San Antonio Spurs,23,24,30,29,29,22,33,27,07.02.2021
233,Memphis Grizzlies,Houston Rockets,27,20,23,33,27,33,27,28,05.02.2021
234,Oklahoma City Thunder,Houston Rockets,30,24,27,23,25,18,15,29,04.02.2021
235,Oklahoma City Thunder,Houston Rockets,24,30,22,30,48,25,29,34,02.02.2021
236,New Orleans Pelicans,Houston Rockets,35,22,27,28,27,48,24,27,31.01.2021
237,Houston Rockets,Portland Trail Blazers,17,36,33,18,32,18,27,24,29.01.2021
238,Houston Rockets,Washington Wizards,26,30,19,32,29,23,18,18,27.01.2021
239,Dallas Mavericks,Houston Rockets,27,32,24,25,38,32,34,29,24.01.2021
