,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
169,Utah Jazz,Sacramento Kings,33,25,32,29,29,30,28,26,03.11.2021
170,Dallas Mavericks,Sacramento Kings,31,22,29,23,22,25,25,27,31.10.2021
171,New Orleans Pelicans,Sacramento Kings,26,22,24,37,33,26,18,36,30.10.2021
172,Phoenix Suns,Sacramento Kings,29,32,15,31,23,30,29,28,28.10.2021
173,Sacramento Kings,Golden State Warriors,31,31,26,19,29,31,30,29,25.10.2021
174,Sacramento Kings,Utah Jazz,26,26,28,21,24,22,35,29,23.10.2021
175,Portland Trail Blazers,Sacramento Kings,23,26,36,36,24,38,38,24,21.10.2021
176,Sacramento Kings,Los Angeles Lakers,35,36,21,24,23,42,22,25,15.10.2021
177,Portland Trail Blazers,Sacramento Kings,17,31,23,22,25,30,26,26,12.10.2021
178,Los Angeles Clippers,Sacramento Kings,22,29,17,30,28,23,38,24,07.10.2021
179,Sacramento Kings,Phoenix Suns,30,31,29,27,23,24,24,35,05.10.2021
180,Boston Celtics,Sacramento Kings,20,16,13,18,24,20,26,30,18.08.2021
181,Sacramento Kings,Dallas Mavericks,22,18,18,28,15,17,21,17,15.08.2021
182,Sacramento Kings,Memphis Grizzlies,19,23,24,24,13,24,26,12,14.08.2021
183,Washington Wizards,Sacramento Kings,21,18,20,16,21,23,29,16,11.08.2021
184,Sacramento Kings,Charlotte Hornets,16,15,24,25,13,14,21,22,09.08.2021
185,Sacramento Kings,Los Angeles Lakers,18,16,23,17,15,17,19,33,05.08.2021
186,Sacramento Kings,Golden State Warriors,16,25,21,18,13,27,21,19,"04.08.2021
AOT"
187,Sacramento Kings,Utah Jazz,25,24,24,26,28,36,33,24,17.05.2021
188,Memphis Grizzlies,Sacramento Kings,29,24,26,28,25,32,19,30,15.05.2021
189,Memphis Grizzlies,Sacramento Kings,36,23,30,27,32,28,23,27,14.05.2021
190,Sacramento Kings,Oklahoma City Thunder,27,35,41,19,32,33,18,23,12.05.2021
191,Sacramento Kings,Oklahoma City Thunder,33,38,35,20,25,26,20,27,10.05.2021
192,Sacramento Kings,San Antonio Spurs,21,28,32,23,25,27,26,35,08.05.2021
193,Indiana Pacers,Sacramento Kings,26,21,21,25,30,26,29,19,06.05.2021
194,Oklahoma City Thunder,Sacramento Kings,20,26,23,30,25,31,25,22,05.05.2021
195,Dallas Mavericks,Sacramento Kings,26,28,18,27,36,25,26,24,03.05.2021
196,Los Angeles Lakers,Sacramento Kings,23,33,32,18,30,25,23,32,01.05.2021
197,Sacramento Kings,Utah Jazz,27,17,30,31,30,46,40,38,29.04.2021
198,Sacramento Kings,Dallas Mavericks,31,28,28,26,17,35,33,21,27.04.2021
199,Golden State Warriors,Sacramento Kings,32,31,31,23,39,26,27,21,26.04.2021
200,Sacramento Kings,Minnesota Timberwolves,44,26,25,33,34,25,39,27,22.04.2021
201,Sacramento Kings,Minnesota Timberwolves,43,31,29,17,39,35,25,35,21.04.2021
202,Dallas Mavericks,Sacramento Kings,20,30,27,30,22,45,20,34,19.04.2021
203,Phoenix Suns,Sacramento Kings,33,34,28,27,28,37,29,20,16.04.2021
204,Sacramento Kings,Washington Wizards,31,29,23,28,42,28,23,30,15.04.2021
205,New Orleans Pelicans,Sacramento Kings,31,37,18,31,19,26,29,36,13.04.2021
206,Utah Jazz,Sacramento Kings,34,25,36,33,31,34,24,23,11.04.2021
207,Sacramento Kings,Detroit Pistons,23,21,30,27,27,35,27,24,09.04.2021
208,Minnesota Timberwolves,Sacramento Kings,26,29,27,34,29,26,27,24,06.04.2021
209,Sacramento Kings,Milwaukee Bucks,28,29,34,37,31,30,38,30,04.04.2021
210,Sacramento Kings,Los Angeles Lakers,27,26,23,18,29,36,26,24,03.04.2021
211,San Antonio Spurs,Sacramento Kings,33,36,28,23,27,26,29,24,01.04.2021
212,San Antonio Spurs,Sacramento Kings,31,29,31,24,27,41,29,35,30.03.2021
213,Sacramento Kings,Cleveland Cavaliers,31,18,22,29,29,19,26,24,28.03.2021
214,Sacramento Kings,Golden State Warriors,35,37,34,35,37,24,25,33,26.03.2021
215,Sacramento Kings,Atlanta Hawks,29,28,28,25,27,30,17,34,25.03.2021
216,Cleveland Cavaliers,Sacramento Kings,35,24,17,29,36,27,27,29,23.03.2021
217,Philadelphia 76ers,Sacramento Kings,42,31,33,23,21,31,28,25,21.03.2021
218,Boston Celtics,Sacramento Kings,22,23,36,15,28,27,27,25,20.03.2021
219,Washington Wizards,Sacramento Kings,38,28,27,26,34,32,36,19,18.03.2021
220,Charlotte Hornets,Sacramento Kings,32,29,30,31,37,30,29,20,16.03.2021
221,Atlanta Hawks,Sacramento Kings,22,39,37,23,33,18,30,25,14.03.2021
222,Sacramento Kings,Houston Rockets,35,30,30,30,33,18,30,24,12.03.2021
223,Portland Trail Blazers,Sacramento Kings,30,29,30,34,27,29,34,29,05.03.2021
224,Sacramento Kings,Los Angeles Lakers,23,40,24,36,31,30,27,32,04.03.2021
225,Sacramento Kings,Charlotte Hornets,39,28,29,30,36,30,22,39,01.03.2021
226,Detroit Pistons,Sacramento Kings,25,27,28,27,35,20,20,35,27.02.2021
227,New York Knicks,Sacramento Kings,38,39,24,39,29,33,32,27,26.02.2021
228,Brooklyn Nets,Sacramento Kings,42,30,26,29,28,38,30,22,24.02.2021
229,Milwaukee Bucks,Sacramento Kings,28,42,29,29,25,31,26,33,22.02.2021
230,Chicago Bulls,Sacramento Kings,28,40,27,27,21,37,25,31,21.02.2021
231,Sacramento Kings,Miami Heat,21,22,36,31,31,26,32,29,19.02.2021
232,Sacramento Kings,Brooklyn Nets,37,31,20,37,36,38,33,29,16.02.2021
233,Sacramento Kings,Memphis Grizzlies,22,24,33,31,30,32,37,25,15.02.2021
234,Sacramento Kings,Orlando Magic,33,26,28,25,33,31,33,26,13.02.2021
235,Sacramento Kings,Philadelphia 76ers,32,39,20,20,42,24,21,32,10.02.2021
236,Los Angeles Clippers,Sacramento Kings,24,27,29,30,22,32,25,34,07.02.2021
237,Sacramento Kings,Denver Nuggets,26,27,34,32,25,27,29,33,06.02.2021
238,Sacramento Kings,Boston Celtics,22,30,29,35,26,25,31,29,04.02.2021
239,New Orleans Pelicans,Sacramento Kings,33,29,32,15,30,30,27,31,02.02.2021
