,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
100,Chicago Bulls,Milwaukee Bucks,22,19,33,21,25,31,34,29,24.04.2022
101,Chicago Bulls,Milwaukee Bucks,17,24,18,22,33,27,30,21,23.04.2022
102,Milwaukee Bucks,Chicago Bulls,28,21,31,30,29,34,24,27,21.04.2022
103,Milwaukee Bucks,Chicago Bulls,34,17,23,19,21,22,28,15,17.04.2022
104,Cleveland Cavaliers,Milwaukee Bucks,46,33,32,22,20,26,33,36,10.04.2022
105,Detroit Pistons,Milwaukee Bucks,8,30,30,33,30,26,34,41,09.04.2022
106,Milwaukee Bucks,Boston Celtics,36,33,33,25,29,30,38,24,08.04.2022
107,Chicago Bulls,Milwaukee Bucks,20,26,36,24,26,32,38,31,06.04.2022
108,Milwaukee Bucks,Dallas Mavericks,33,22,32,25,25,32,33,28,03.04.2022
109,Milwaukee Bucks,Los Angeles Clippers,30,32,26,31,34,39,41,39,02.04.2022
110,Brooklyn Nets,Milwaukee Bucks,30,30,26,24,23,33,31,23,"01.04.2022
AOT"
111,Philadelphia 76ers,Milwaukee Bucks,24,37,28,27,27,24,30,37,30.03.2022
112,Memphis Grizzlies,Milwaukee Bucks,32,27,39,29,28,18,33,23,27.03.2022
113,Milwaukee Bucks,Washington Wizards,32,28,32,22,13,29,24,36,25.03.2022
114,Milwaukee Bucks,Chicago Bulls,33,26,32,35,20,23,26,29,23.03.2022
115,Minnesota Timberwolves,Milwaukee Bucks,34,34,38,32,28,28,26,37,19.03.2022
116,Sacramento Kings,Milwaukee Bucks,31,30,31,34,28,40,33,34,17.03.2022
117,Utah Jazz,Milwaukee Bucks,39,20,34,18,37,31,21,28,15.03.2022
118,Golden State Warriors,Milwaukee Bucks,28,39,36,19,28,30,26,25,13.03.2022
119,Milwaukee Bucks,Atlanta Hawks,37,31,25,31,26,28,32,29,10.03.2022
120,Oklahoma City Thunder,Milwaukee Bucks,34,31,28,22,39,37,29,37,09.03.2022
121,Milwaukee Bucks,Phoenix Suns,30,30,31,41,33,30,27,32,06.03.2022
122,Chicago Bulls,Milwaukee Bucks,25,28,35,24,25,32,24,37,05.03.2022
123,Milwaukee Bucks,Miami Heat,36,28,29,27,28,38,31,22,03.03.2022
124,Milwaukee Bucks,Charlotte Hornets,32,44,32,22,32,21,23,30,01.03.2022
125,Milwaukee Bucks,Brooklyn Nets,32,27,34,30,25,28,43,30,27.02.2022
126,Milwaukee Bucks,Philadelphia 76ers,27,34,32,27,24,45,31,23,18.02.2022
127,Milwaukee Bucks,Indiana Pacers,34,35,30,29,27,36,31,25,16.02.2022
128,Milwaukee Bucks,Portland Trail Blazers,30,24,24,29,31,40,23,28,15.02.2022
129,Phoenix Suns,Milwaukee Bucks,31,33,33,34,34,22,21,30,11.02.2022
130,Los Angeles Lakers,Milwaukee Bucks,24,32,29,31,38,40,31,22,09.02.2022
131,Los Angeles Clippers,Milwaukee Bucks,32,19,30,32,28,32,39,38,07.02.2022
132,Portland Trail Blazers,Milwaukee Bucks,26,28,21,33,34,36,37,30,06.02.2022
133,Milwaukee Bucks,Washington Wizards,24,29,25,34,20,20,33,25,02.02.2022
134,Milwaukee Bucks,Denver Nuggets,30,27,24,19,33,32,38,33,31.01.2022
135,Milwaukee Bucks,New York Knicks,39,28,26,30,30,33,25,20,29.01.2022
136,Cleveland Cavaliers,Milwaukee Bucks,26,39,30,20,35,22,20,22,27.01.2022
137,Milwaukee Bucks,Sacramento Kings,27,35,32,39,35,19,32,41,23.01.2022
138,Milwaukee Bucks,Chicago Bulls,24,21,23,26,20,24,25,21,22.01.2022
139,Milwaukee Bucks,Memphis Grizzlies,36,25,35,30,30,17,40,27,20.01.2022
140,Atlanta Hawks,Milwaukee Bucks,17,33,33,38,26,36,26,26,18.01.2022
141,Milwaukee Bucks,Toronto Raptors,29,20,20,27,20,26,27,30,16.01.2022
142,Milwaukee Bucks,Golden State Warriors,37,40,20,21,21,17,34,27,14.01.2022
143,Charlotte Hornets,Milwaukee Bucks,28,19,36,20,19,29,26,25,11.01.2022
144,Charlotte Hornets,Milwaukee Bucks,27,20,42,25,29,12,34,31,09.01.2022
145,Brooklyn Nets,Milwaukee Bucks,21,28,31,29,29,31,38,23,08.01.2022
146,Milwaukee Bucks,Toronto Raptors,42,35,11,23,35,33,24,25,06.01.2022
147,Milwaukee Bucks,Detroit Pistons,30,34,21,21,28,33,26,28,04.01.2022
148,Milwaukee Bucks,New Orleans Pelicans,27,37,32,40,24,32,26,31,02.01.2022
149,Orlando Magic,Milwaukee Bucks,24,27,34,33,32,31,33,40,31.12.2021
150,Orlando Magic,Milwaukee Bucks,24,21,37,28,32,40,25,30,29.12.2021
151,Milwaukee Bucks,Boston Celtics,22,25,43,27,35,27,32,19,25.12.2021
152,Dallas Mavericks,Milwaukee Bucks,23,20,31,21,15,26,34,27,24.12.2021
153,Milwaukee Bucks,Houston Rockets,25,38,34,29,24,26,26,30,23.12.2021
154,Milwaukee Bucks,Cleveland Cavaliers,20,31,18,21,34,28,31,26,19.12.2021
155,New Orleans Pelicans,Milwaukee Bucks,21,31,25,26,28,21,28,26,"18.12.2021
AOT"
156,Milwaukee Bucks,Indiana Pacers,33,25,29,27,33,20,34,12,16.12.2021
157,Boston Celtics,Milwaukee Bucks,21,30,34,32,30,20,24,29,14.12.2021
158,New York Knicks,Milwaukee Bucks,16,32,31,18,26,35,32,19,12.12.2021
159,Houston Rockets,Milwaukee Bucks,23,42,30,19,26,32,32,33,11.12.2021
160,Miami Heat,Milwaukee Bucks,24,20,39,30,26,25,26,27,09.12.2021
161,Milwaukee Bucks,Cleveland Cavaliers,24,32,32,24,24,26,28,26,07.12.2021
162,Milwaukee Bucks,Miami Heat,34,35,36,19,23,29,24,26,05.12.2021
163,Toronto Raptors,Milwaukee Bucks,26,22,25,24,23,17,28,25,03.12.2021
164,Milwaukee Bucks,Charlotte Hornets,25,35,37,30,41,27,27,30,02.12.2021
165,Indiana Pacers,Milwaukee Bucks,26,21,27,26,26,26,39,27,28.11.2021
166,Denver Nuggets,Milwaukee Bucks,16,31,26,36,27,31,32,30,27.11.2021
167,Milwaukee Bucks,Detroit Pistons,32,32,24,26,26,26,22,19,25.11.2021
168,Milwaukee Bucks,Orlando Magic,36,41,28,18,16,20,20,36,23.11.2021
169,Milwaukee Bucks,Orlando Magic,36,26,34,21,24,26,21,37,21.11.2021
170,Milwaukee Bucks,Oklahoma City Thunder,34,24,22,16,24,23,21,21,20.11.2021
171,Milwaukee Bucks,Los Angeles Lakers,30,34,21,24,32,21,30,19,18.11.2021
172,Atlanta Hawks,Milwaukee Bucks,32,26,31,31,24,20,33,23,15.11.2021
173,Boston Celtics,Milwaukee Bucks,30,21,37,20,30,25,26,27,"13.11.2021
AOT"
174,New York Knicks,Milwaukee Bucks,22,20,24,34,31,20,31,30,11.11.2021
175,Philadelphia 76ers,Milwaukee Bucks,39,19,35,16,30,31,30,27,10.11.2021
176,Washington Wizards,Milwaukee Bucks,26,23,33,19,24,28,19,23,08.11.2021
177,Milwaukee Bucks,New York Knicks,38,25,20,15,19,37,32,25,06.11.2021
178,Detroit Pistons,Milwaukee Bucks,20,19,23,27,27,30,33,27,03.11.2021
179,Milwaukee Bucks,Utah Jazz,23,25,21,26,30,27,27,23,01.11.2021
180,Milwaukee Bucks,San Antonio Spurs,24,23,20,26,27,18,24,33,31.10.2021
181,Milwaukee Bucks,Minnesota Timberwolves,34,24,21,29,44,22,28,19,28.10.2021
182,Indiana Pacers,Milwaukee Bucks,30,27,29,23,34,32,35,18,26.10.2021
183,San Antonio Spurs,Milwaukee Bucks,32,20,29,30,32,24,29,36,24.10.2021
184,Miami Heat,Milwaukee Bucks,40,32,33,32,17,26,26,26,22.10.2021
185,Milwaukee Bucks,Brooklyn Nets,37,29,31,30,25,34,26,19,20.10.2021
186,Milwaukee Bucks,Dallas Mavericks,29,21,27,26,30,37,24,23,16.10.2021
187,Utah Jazz,Milwaukee Bucks,35,28,32,29,30,31,32,27,14.10.2021
188,Milwaukee Bucks,Oklahoma City Thunder,48,33,23,26,32,22,27,29,11.10.2021
