,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
192,Chicago Bulls,Boston Celtics,30,30,34,27,28,18,28,25,08.05.2021
193,Charlotte Hornets,Chicago Bulls,24,29,21,25,34,25,37,24,07.05.2021
194,Chicago Bulls,Philadelphia 76ers,20,23,20,31,34,26,23,23,04.05.2021
195,Atlanta Hawks,Chicago Bulls,31,23,28,26,26,37,12,22,02.05.2021
196,Chicago Bulls,Milwaukee Bucks,16,28,19,35,28,24,28,28,01.05.2021
197,New York Knicks,Chicago Bulls,32,20,24,37,19,29,27,19,29.04.2021
198,Miami Heat,Chicago Bulls,26,27,29,20,20,32,24,34,27.04.2021
199,Miami Heat,Chicago Bulls,33,28,19,26,18,23,22,38,25.04.2021
200,Chicago Bulls,Charlotte Hornets,34,24,30,20,23,21,23,24,23.04.2021
201,Cleveland Cavaliers,Chicago Bulls,34,27,38,22,12,32,28,33,22.04.2021
202,Boston Celtics,Chicago Bulls,30,18,18,30,24,18,32,28,20.04.2021
203,Chicago Bulls,Cleveland Cavaliers,29,18,33,26,24,25,21,26,18.04.2021
204,Chicago Bulls,Memphis Grizzlies,33,24,28,30,33,24,37,32,17.04.2021
205,Chicago Bulls,Orlando Magic,22,31,19,34,32,22,39,22,15.04.2021
206,Memphis Grizzlies,Chicago Bulls,22,26,22,31,22,25,27,16,13.04.2021
207,Minnesota Timberwolves,Chicago Bulls,29,37,25,30,26,29,32,30,12.04.2021
208,Atlanta Hawks,Chicago Bulls,25,28,33,34,33,33,18,24,10.04.2021
209,Toronto Raptors,Chicago Bulls,27,24,28,34,33,31,33,25,09.04.2021
210,Indiana Pacers,Chicago Bulls,28,21,25,23,30,32,35,16,07.04.2021
211,Chicago Bulls,Brooklyn Nets,25,32,32,26,28,18,26,35,04.04.2021
212,Utah Jazz,Chicago Bulls,26,32,30,25,25,24,24,33,03.04.2021
213,Phoenix Suns,Chicago Bulls,39,28,27,27,37,21,28,30,01.04.2021
214,Golden State Warriors,Chicago Bulls,34,31,31,20,29,31,25,17,30.03.2021
215,San Antonio Spurs,Chicago Bulls,33,32,31,24,20,19,34,31,28.03.2021
216,Chicago Bulls,Cleveland Cavaliers,25,30,17,22,25,28,25,25,25.03.2021
217,Chicago Bulls,Utah Jazz,23,19,29,24,29,27,33,31,23.03.2021
218,Detroit Pistons,Chicago Bulls,25,20,20,21,20,26,29,25,22.03.2021
219,Denver Nuggets,Chicago Bulls,20,27,34,35,30,25,34,27,"20.03.2021
AOT"
220,Chicago Bulls,San Antonio Spurs,31,27,22,19,17,23,27,39,18.03.2021
221,Chicago Bulls,Oklahoma City Thunder,42,29,31,21,28,35,16,23,17.03.2021
222,Chicago Bulls,Toronto Raptors,28,30,27,33,22,27,24,22,15.03.2021
223,Chicago Bulls,Miami Heat,21,21,26,22,29,13,28,31,13.03.2021
224,Chicago Bulls,Philadelphia 76ers,23,34,28,20,30,34,33,30,12.03.2021
225,New Orleans Pelicans,Chicago Bulls,25,20,34,45,26,38,32,32,04.03.2021
226,Chicago Bulls,Denver Nuggets,25,30,32,25,37,25,27,29,02.03.2021
227,Chicago Bulls,Phoenix Suns,26,32,23,16,26,20,28,32,27.02.2021
228,Chicago Bulls,Minnesota Timberwolves,32,36,28,23,34,24,32,29,"25.02.2021
AOT"
229,Houston Rockets,Chicago Bulls,24,24,26,26,29,25,46,20,23.02.2021
