home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
Miami Heat,Chicago Bulls,30,25,36,21,21,25,21,32,01.03.2022
Miami Heat,San Antonio Spurs,28,33,38,34,40,18,39,32,27.02.2022
New York Knicks,Miami Heat,32,23,30,15,30,35,25,25,26.02.2022
Charlotte Hornets,Miami Heat,30,24,17,16,37,10,17,23,"18.02.2022
AOT"
Miami Heat,Dallas Mavericks,28,31,19,21,23,28,30,26,16.02.2022
Miami Heat,Brooklyn Nets,26,38,27,24,26,32,18,35,13.02.2022
New Orleans Pelicans,Miami Heat,24,31,18,24,27,29,27,29,11.02.2022
Washington Wizards,Miami Heat,24,29,17,30,39,21,31,30,08.02.2022
Charlotte Hornets,Miami Heat,23,28,8,27,31,15,35,23,06.02.2022
San Antonio Spurs,Miami Heat,19,28,19,29,21,36,31,24,04.02.2022
Toronto Raptors,Miami Heat,22,28,30,30,32,30,21,23,02.02.2022
Boston Celtics,Miami Heat,27,27,40,28,14,31,25,22,01.02.2022
Miami Heat,Toronto Raptors,27,26,22,25,28,31,26,15,"30.01.2022
AOT"
Miami Heat,Los Angeles Clippers,28,29,39,25,19,26,35,34,29.01.2022
Miami Heat,New York Knicks,30,29,33,18,16,30,21,29,27.01.2022
Miami Heat,Los Angeles Lakers,39,30,20,24,25,27,18,37,24.01.2022
Atlanta Hawks,Miami Heat,31,29,28,22,30,21,23,34,22.01.2022
Miami Heat,Portland Trail Blazers,23,35,20,26,26,30,24,12,20.01.2022
Miami Heat,Toronto Raptors,27,31,22,24,30,21,24,24,18.01.2022
Miami Heat,Philadelphia 76ers,29,21,23,25,20,23,32,34,16.01.2022
Miami Heat,Atlanta Hawks,40,24,30,30,30,40,29,19,15.01.2022
Atlanta Hawks,Miami Heat,27,24,16,24,21,35,30,29,13.01.2022
Phoenix Suns,Miami Heat,29,21,29,21,33,38,27,25,09.01.2022
Portland Trail Blazers,Miami Heat,23,24,33,29,30,28,25,32,06.01.2022
Golden State Warriors,Miami Heat,33,26,30,26,25,29,28,26,04.01.2022
Sacramento Kings,Miami Heat,26,35,29,25,18,39,33,23,03.01.2022
Houston Rockets,Miami Heat,30,30,27,23,41,33,26,20,01.01.2022
Miami Heat,Washington Wizards,38,27,26,28,24,27,22,39,29.12.2021
Miami Heat,Orlando Magic,22,20,30,21,24,15,21,23,26.12.2021
Miami Heat,Detroit Pistons,29,26,33,27,29,32,26,25,24.12.2021
Miami Heat,Indiana Pacers,33,35,30,27,21,24,24,27,22.12.2021
Detroit Pistons,Miami Heat,20,26,33,21,23,25,19,23,20.12.2021
Orlando Magic,Miami Heat,22,35,26,22,31,35,27,22,18.12.2021
Philadelphia 76ers,Miami Heat,18,31,21,26,29,29,23,20,16.12.2021
Cleveland Cavaliers,Miami Heat,23,32,23,27,25,19,29,21,14.12.2021
Miami Heat,Chicago Bulls,39,26,21,32,25,27,18,22,12.12.2021
Miami Heat,Milwaukee Bucks,24,20,39,30,26,25,26,27,09.12.2021
Miami Heat,Memphis Grizzlies,25,24,18,23,34,26,22,23,07.12.2021
Milwaukee Bucks,Miami Heat,34,35,36,19,23,29,24,26,05.12.2021
Indiana Pacers,Miami Heat,25,30,26,23,32,30,30,21,04.12.2021
Miami Heat,Cleveland Cavaliers,16,27,20,22,31,30,26,24,02.12.2021
Miami Heat,Denver Nuggets,23,20,35,33,32,31,32,25,30.11.2021
Chicago Bulls,Miami Heat,20,26,28,30,27,22,23,35,28.11.2021
Minnesota Timberwolves,Miami Heat,30,24,32,27,27,35,20,19,25.11.2021
Detroit Pistons,Miami Heat,25,28,23,16,20,26,21,33,24.11.2021
