,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
129,Atlanta Hawks,Phoenix Suns,32,32,36,24,30,31,30,24,04.02.2022
130,Atlanta Hawks,Toronto Raptors,24,33,15,28,25,23,32,26,01.02.2022
131,Atlanta Hawks,Los Angeles Lakers,34,28,29,38,33,38,30,20,30.01.2022
132,Atlanta Hawks,Boston Celtics,32,30,18,28,20,27,30,15,29.01.2022
133,Atlanta Hawks,Sacramento Kings,21,46,27,27,33,17,24,30,27.01.2022
134,Charlotte Hornets,Atlanta Hawks,22,22,22,25,30,25,30,28,24.01.2022
135,Atlanta Hawks,Miami Heat,31,29,28,22,30,21,23,34,22.01.2022
136,Atlanta Hawks,Minnesota Timberwolves,26,35,45,28,42,31,20,29,20.01.2022
137,Atlanta Hawks,Milwaukee Bucks,17,33,33,38,26,36,26,26,18.01.2022
138,Atlanta Hawks,New York Knicks,28,23,26,31,31,34,20,32,16.01.2022
139,Miami Heat,Atlanta Hawks,40,24,30,30,30,40,29,19,15.01.2022
140,Atlanta Hawks,Miami Heat,27,24,16,24,21,35,30,29,13.01.2022
141,Los Angeles Clippers,Atlanta Hawks,31,28,27,20,23,30,20,20,09.01.2022
142,Los Angeles Lakers,Atlanta Hawks,34,30,37,33,28,33,26,31,08.01.2022
143,Sacramento Kings,Atlanta Hawks,24,21,30,27,33,21,24,30,06.01.2022
144,Portland Trail Blazers,Atlanta Hawks,36,34,30,36,32,33,40,26,04.01.2022
145,Cleveland Cavaliers,Atlanta Hawks,32,34,22,30,25,26,40,30,01.01.2022
146,Chicago Bulls,Atlanta Hawks,38,36,30,27,36,17,34,30,30.12.2021
147,Atlanta Hawks,Chicago Bulls,36,27,24,31,31,38,29,32,28.12.2021
148,New York Knicks,Atlanta Hawks,30,31,20,20,21,30,15,21,25.12.2021
149,Philadelphia 76ers,Atlanta Hawks,18,33,24,21,32,19,28,19,24.12.2021
150,Atlanta Hawks,Orlando Magic,20,17,24,37,22,25,23,34,23.12.2021
151,Atlanta Hawks,Denver Nuggets,26,28,33,28,29,43,34,27,18.12.2021
152,Orlando Magic,Atlanta Hawks,25,25,23,26,27,37,29,18,16.12.2021
153,Atlanta Hawks,Houston Rockets,38,31,32,25,28,30,30,44,14.12.2021
154,Atlanta Hawks,Brooklyn Nets,26,29,36,14,26,26,37,24,11.12.2021
